Feature,Importance
grade,0.3144971411231756
sqft_living,0.2747004797476542
lat,0.15315598368552774
long,0.06287770146789466
yr_built,0.03282909036307314
waterfront,0.031873415374961994
sqft_living15,0.031247743111881526
sqft_above,0.01974247319101195
zipcode,0.014799701974750149
sqft_lot,0.013582558123626992
sqft_lot15,0.012227720936964231
bathrooms,0.011583907967941873
view,0.010492461137877353
sqft_basement,0.005923135938987671
bedrooms,0.0030997051637335605
condition,0.003031383895276797
yr_renovated,0.002420594557376519
floors,0.0019148022382839626
